location	gene	feature	mean_KO.x	mean_WT.x	mean_dif.x	mean_pval.x	mean_KO.y	mean_WT.y	mean_dif.y	mean_pval.y	mean_KO.z	mean_WT.z	mean_dif.z	mean_pval.z
20:7410816:7412816	2010204K13Rik	TES	0.6775	0.4675	0.21	0.00021308405973045	0.7675	0.525	0.2425	2.88906978395375e-05	0.735	0.515	0.22	4.53588624442478e-05
19:7416624:7418624	2700081O15Rik	TSS	0	0.2	-0.2	4.20596591107522e-05	0.00750000000000006	0.19	-0.1825	9.48054974805785e-05	0	0.2	-0.2	5.51292677303097e-05
9:72530858:72532858	4930509E16Rik	TSS	0.00499999999999989	0.18	-0.175	0.000389363872668927	0	0.1725	-0.1725	6.15894690751548e-05	0	0.1725	-0.1725	1.686140297657e-05
15:101292211:101294211	6030408B16Rik	TSS	0.85	0.6475	0.2025	0.0076411812016911	0.8425	0.6375	0.205	0.0008398585654802	0.8425	0.645	0.1975	0.00170951990315954
2:18026188:18036741	A930004D18Rik	gene	0.23	0.4325	-0.2025	3.55078483284446e-05	0.245	0.425	-0.18	9.8726442881657e-07	0.2275	0.4	-0.1725	9.80734308290148e-06
17:72603307:72605307	Alk	TSS	0	0.175	-0.175	9.21251290023087e-07	0	0.1725	-0.1725	2.98557302792972e-05	0	0.185	-0.185	1.07661788499544e-05
4:40935397:40937397	Bag1	TES	0.6325	0.42	0.2125	0.000229614458867546	0.5975	0.4075	0.19	0.00861548672764824	0.615	0.3875	0.2275	0.00630932959172961
11:87761540:87784928	Bzrap1	gene	0.48	0.2625	0.2175	1.79826963178737e-06	0.535	0.345	0.19	7.92327363528737e-06	0.5125	0.2975	0.215	4.99696796250059e-07
6:113333123:113335123	Camk1	TES	0.6025	0.375	0.2275	0.000385780331952755	0.6875	0.46	0.2275	0.000616051889072456	0.5525	0.3075	0.245	0.000223100824963459
9:107934919:107936919	Camkv	TSS	0	0.18	-0.18	0.000230940336140531	0	0.175	-0.175	9.93394041777379e-08	0	0.195	-0.195	0.000212646845026969
11:119037435:119039435	Cbx8	TES	0.61	0.4125	0.1975	0.000263445088130659	0.5975	0.4175	0.18	2.89181530584759e-05	0.5925	0.4025	0.19	1.64317528455382e-07
8:94903868:94917098	Ccdc102a	gene	0.64	0.4175	0.2225	1.33600075156868e-05	0.6625	0.45	0.2125	2.08683598304734e-08	0.675	0.435	0.24	8.22229795452255e-10
6:83102515:83108121	Ccdc142	gene	0.4175	0.16	0.2575	0.001286840951306	0.52	0.18	0.34	2.71162428303037e-05	0.55	0.17	0.38	0.001693709534571
19:6845622:6857211	Ccdc88b	gene	0.6775	0.4925	0.185	8.36998527589531e-06	0.72	0.515	0.205	2.01519254403105e-05	0.7425	0.5575	0.185	9.67439934647335e-06
3:94481721:94483721	Celf3	TSS	0.7325	0.46	0.2725	0.00624920482765534	0.69	0.4625	0.2275	0.0040322991609766	0.7375	0.4675	0.27	0.00116941734932765
2:181038177:181040177	Chrna4	TSS	0.02	0.2125	-0.1925	0.00227620879812194	0.0275000000000001	0.2075	-0.18	0.000515741003919248	0.0325	0.2125	-0.18	0.000383309324427353
5:109555708:109557993	Crlf2	gene	0.475	0.67	-0.195	8.51487843405246e-07	0.5525	0.76	-0.2075	0.00476450331516988	0.5325	0.745	-0.2125	0.00107031698432199
20:44367337:44369337	Dcaf12l2	TSS	0.285	0.5975	-0.3125	0.00362949084432632	0.37	0.65	-0.28	0.00125981489992978	0.4225	0.655	-0.2325	0.0025342625046023
5:120681263:120710669	Dtx1	gene	0.6225	0.4475	0.175	5.9754914636295e-17	0.625	0.4425	0.1825	2.57831307061538e-19	0.63	0.4375	0.1925	4.84413692692261e-22
17:24891151:24893151	Eme2	TES	0.7125	0.5325	0.18	0.00142074256173746	0.75	0.56	0.19	0.00021228848673528	0.73	0.5625	0.1675	0.00149189308499788
17:47866132:47868132	Foxp4	TES	0.84	0.63	0.21	0.00640405006409233	0.7975	0.5575	0.24	0.00570105695584969	0.7525	0.535	0.2175	0.00167415026966182
11:120367173:120369173	Fscn2	TES	0.8925	0.6975	0.195	2.60612101928328e-05	0.8875	0.705	0.1825	0.000141934467115335	0.89	0.72	0.17	2.8868193733479e-05
2:130803101:130805101	Gm14057	TSS	0.755	0.555	0.2	0.00170007112637186	0.7525	0.57	0.1825	0.00100923015011533	0.79	0.5825	0.2075	0.000213752791799386
10:17947067:17949067	Heca	TSS	0	0.18	-0.18	0.00305041097076641	0	0.195	-0.195	0.000151688827332964	0	0.1775	-0.1775	4.9562907468636e-05
15:101997710:102003342	Krt8	gene	0.7675	0.5625	0.205	1.09220885766938e-05	0.7775	0.5825	0.195	0.000217531654177204	0.81	0.595	0.215	0.000187975642423981
19:46031600:46033600	Ldb1	TES	0.7925	0.5	0.2925	1.60223969152709e-06	0.72	0.5225	0.1975	9.37248250494035e-05	0.7275	0.515	0.2125	2.29070422005936e-05
14:34527698:34587607	Ldb3	gene	0.79	0.5575	0.2325	1.22670052768904e-05	0.84	0.615	0.225	0.000298327305497594	0.82	0.5675	0.2525	2.13097564016236e-06
15:78925724:78927724	Lgals1	TSS	0.4175	0.2	0.2175	0.00133292436074126	0.445	0.2525	0.1925	0.00565474741854635	0.41	0.205	0.205	0.00050934649652661
15:76716275:76721173	Lrrc24	gene	0.4525	0.2225	0.23	1.41004982569557e-05	0.4175	0.22	0.1975	0.000282379366030029	0.4025	0.2375	0.165	0.00174380199394366
5:139792535:139801652	Mafk	gene	0.78	0.57	0.21	1.69495480417435e-05	0.7675	0.555	0.2125	0.000102697124886156	0.765	0.565	0.2	0.000126352134915725
20:169880618:169989797	Mid1	gene	0.2825	0.0649999999999999	0.2175	0.018251138958063	0.295	0.0700000000000001	0.225	0.00989778195795622	0.39	0.1325	0.2575	0.00506438527053699
11:74831923:74844725	Mnt	gene	0.49	0.6925	-0.2025	2.40585060467075e-07	0.525	0.7175	-0.1925	5.03856259341451e-06	0.5225	0.735	-0.2125	1.81044285880046e-08
7:64339806:64341806	Mtmr10	TES	0.8175	0.6025	0.215	0.00115564700609377	0.84	0.5875	0.2525	0.000251513295661525	0.8125	0.6275	0.185	0.0158175736097044
4:135758714:135760714	Myom3	TSS	0.7	0.485	0.215	0.00461888641787515	0.7175	0.4775	0.24	0.000723751558733844	0.7275	0.5075	0.22	0.00103776701733259
7:30422303:30424303	Nfkbid	TSS	0.1675	0.3925	-0.225	0.00247971339296058	0.1675	0.4125	-0.245	0.00541798282596318	0.1825	0.4175	-0.235	0.00139860491978768
18:37448656:37450094	Pcdhb14	gene	0.7675	0.5775	0.19	5.75381914000531e-06	0.77	0.5775	0.1925	1.99522484630332e-06	0.78	0.58	0.2	5.5571858183895e-06
18:37748187:37840870	Pcdhga10	gene	0.56	0.4	0.16	6.55915255295452e-23	0.5675	0.3975	0.17	1.27800580381199e-23	0.585	0.4175	0.1675	1.0522027656192e-29
18:37752778:37840870	Pcdhgb7	gene	0.5675	0.4025	0.165	4.06951444192929e-20	0.585	0.41	0.175	4.25177945161612e-21	0.5975	0.4225	0.175	3.98056404572689e-26
20:157414286:157416286	Phex	TSS	0.705	0.47	0.235	0.00386148877783131	0.7175	0.465	0.2525	0.00121460772479461	0.61	0.425	0.185	0.00864000947925649
8:83698179:83700179	Pkn1	TSS	0.0325	0.2725	-0.24	3.55500311438827e-05	0.0600000000000001	0.255	-0.195	0.000592894725967385	0.0900000000000001	0.27	-0.18	6.184319947446e-06
14:65401672:65424472	Pnoc	gene	0.6	0.365	0.235	3.62405905521817e-08	0.59	0.385	0.205	1.02991657380449e-07	0.615	0.3675	0.2475	3.62479382428343e-06
12:109604944:109660711	Rian	gene	0.605	0.4275	0.1775	2.95507701357612e-10	0.61	0.445	0.165	1.64979988946848e-11	0.585	0.4225	0.1625	2.42262676801784e-13
20:160769012:160798663	Rs1	gene	0.87	0.575	0.295	0.00291702057896392	0.85	0.5175	0.3325	0.000103727768204237	0.7875	0.55	0.2375	0.000985886614616082
3:89084978:89092363	Rusc1	gene	0.2175	0.4675	-0.25	2.0641961779174e-05	0.2975	0.5475	-0.25	6.49650376305227e-05	0.3125	0.5425	-0.23	4.39898753787807e-05
11:75163448:75165448	Smg6	TES	0.4025	0.1725	0.23	8.23416479565635e-05	0.39	0.1725	0.2175	0.00278456440993503	0.42	0.1925	0.2275	0.00178850496694712
15:102358176:102365271	Sp7	gene	0.44	0.18	0.26	0.00487541789345229	0.39	0.1775	0.2125	0.00222475411746454	0.355	0.1575	0.1975	0.00531415278951599
17:24891147:24893147	Spsb3	TES	0.7125	0.5325	0.18	0.00142074256173746	0.75	0.56	0.19	0.00021228848673528	0.73	0.5625	0.1675	0.00149189308499788
11:60198088:60200088	Srebf1	TES	0.465	0.2075	0.2575	0.000378078420910622	0.435	0.23	0.205	0.000415927583103371	0.4875	0.2225	0.265	0.00055181839003808
17:55998075:56004606	Stap2	gene	0.475	0.275	0.2	0.00500954469935617	0.5325	0.275	0.2575	0.000230459892847536	0.555	0.3425	0.2125	0.00539133520907056
5:119835662:119884218	Tbx5	gene	0.4525	0.23	0.2225	1.96136664135439e-05	0.4925	0.2975	0.195	8.09339725311215e-06	0.5125	0.275	0.2375	8.95380481350912e-06
9:60510035:60512035	Thsd4	TSS	0.8	0.585	0.215	0.00157644077746722	0.7575	0.5875	0.17	0.00466555820516336	0.835	0.62	0.215	0.00225011282255601
10:94515856:94589954	Tmcc3	gene	0.4825	0.2775	0.205	0.000400671293441932	0.535	0.305	0.23	1.93432453493003e-05	0.485	0.2975	0.1875	0.000925597761822206
4:106621448:106623448	Ttc22	TSS	0.32	0.165	0.155	0.000162059430746476	0.3575	0.1725	0.185	2.3913701997756e-06	0.3925	0.165	0.2275	2.82025012175554e-07
12:76368464:76370464	Zbtb25	TSS	0	0.17	-0.17	2.48006423737899e-06	0	0.17	-0.17	1.7237159933237e-07	0	0.17	-0.17	1.73193188910493e-06
8:105471424:105473424	Zdhhc1	TES	0.68	0.8425	-0.1625	0.00372619697043224	0.6575	0.83	-0.1725	0.00760780707922766	0.685	0.85	-0.165	0.0113949323237425
15:103314894:103339086	Zfp385a	gene	0.44	0.195	0.245	0.00162649079801728	0.58	0.3	0.28	0.00311318928319626	0.6025	0.21	0.3925	0.00427078060814488
